slug,en,fr,pl,th,km
nickname,Nickname,Surnom,Pseudonim,ชื่อเล่น,ឈ្មោះហៅក្រៅ
no-active-users-with-login-codes,No active users with login codes.,Aucun utilisateur actif avec un code de connexion.,Brak aktywnych użytkowników z kodami logowania.,ไม่มีผู้ใช้ที่ใช้งานพร้อมรหัสเข้าสู่ระบบ,គ្មានអ្នកប្រើសកម្មដែលមានលេខកូដចូល។
no-favorites-match-search,No favorites match your search,Aucun favori ne correspond à votre recherche,Brak ulubionych pasujących do wyszukiwania,ไม่มีรายการโปรดที่ตรงกับการค้นหา,គ្មានសំណព្វត្រូវនឹងការស្វែងរក
no-favorites-yet,No favorites yet,Pas encore de favoris,Brak jeszcze ulubionych,ยังไม่มีรายการโปรด,មិនទាន់មានសំណព្វ
no-results,No results,Aucun résultat,Brak wyników,ไม่พบผลลัพธ์,គ្មានលទ្ធផល
no-results-found,No results found,Aucun résultat trouvé,Nie znaleziono wyników,ไม่พบผลลัพธ์,រកមិនឃើញលទ្ធផល
no-sequences-match-search,No sequences match your search,Aucune séquence ne correspond à votre recherche,Brak sekwencji pasujących do wyszukiwania,ไม่มีลำดับที่ตรงกับการค้นหา,គ្មានលំដាប់ត្រូវនឹងការស្វែងរក
no-students-found,No Students Found,Aucun élève trouvé,Nie znaleziono uczniów,ไม่พบนักเรียน,រកមិនឃើញសិស្ស
no-students-selected,No students selected.,Aucun élève sélectionné.,Nie wybrano uczniów.,ยังไม่ได้เลือกนักเรียน,មិនបានជ្រើសសិស្ស។
no-submission,No Submission,Aucune soumission,Brak zgłoszenia,ไม่มีการส่ง,គ្មានការដាក់ស្នើ
optional,Optional,Facultatif,Opcjonalne,ไม่บังคับ,ស្រេចចិត្ត
password-reset-successfully,Password reset successfully,Mot de passe réinitialisé avec succès,Hasło zresetowane pomyślnie,รีเซ็ตรหัสผ่านสำเร็จ,បានកំណត់ពាក្យសម្ងាត់ឡើងវិញដោយជោគជ័យ
practice,Practice,Pratique,Ćwiczenie,ฝึกฝน,អនុវត្ត
print,Print,Imprimer,Drukuj,พิมพ์,បោះពុម្ព
publication-date,Publication date,Date de publication,Data publikacji,วันที่เผยแพร่,កាលបរិច្ឆេទផ្សព្វផ្សាយ
publication-time,Publication time,Heure de publication,Godzina publikacji,เวลาเผยแพร่,ម៉ោងផ្សព្វផ្សាយ
publishes-on,Publishes on,Publié le,Publikacja,เผยแพร่เมื่อ,ផ្សព្វផ្សាយនៅ
remove-from-favorites,Remove from favorites,Retirer des favoris,Usuń z ulubionych,ลบออกจากรายการโปรด,ដកចេញពីសំណព្វ
reporting-dashboard,Reporting Dashboard,Tableau de bord des rapports,Panel raportowania,แดชบอร์ดรายงาน,ផ្ទាំងគ្រប់គ្រងរបាយការណ៍
required,Required,Obligatoire,Wymagane,จำเป็น,ចាំបាច់
reset-password,Reset Password,Réinitialiser le mot de passe,Resetuj hasło,รีเซ็ตรหัสผ่าน,កំណត់ពាក្យសម្ងាត់ឡើងវិញ
reset-password-confirm-description,Reset Password Confirm Description,Un nouveau code de connexion sera généré pour cet élève.,Zostanie wygenerowany nowy kod logowania dla tego ucznia.,จะสร้างรหัสเข้าสู่ระบบใหม่สำหรับนักเรียนคนนี้,លេខកូដចូលថ្មីនឹងត្រូវបានបង្កើតសម្រាប់សិស្សនេះ។
reset-password-confirm-title,Reset Password Confirm Title,Réinitialiser le mot de passe ?,Zresetować hasło?,รีเซ็ตรหัสผ่านหรือไม่?,កំណត់ពាក្យសម្ងាត់ឡើងវិញ?
restore,Restore,Restaurer,Przywróć,กู้คืน,ស្តារ
restore-group-confirm-description,The group will return to your active groups list. Students stay assigned to this group.,Le groupe reviendra dans votre liste de groupes actifs. Les élèves restent assignés à ce groupe.,Grupa wróci na listę aktywnych grup. Uczniowie pozostaną przypisani do tej grupy.,กลุ่มจะกลับไปยังรายการกลุ่มที่ใช้งาน นักเรียนยังอยู่ในกลุ่มนี้,ក្រុមនឹងត្រឡប់ទៅបញ្ជីក្រុមសកម្ម។ សិស្សនៅតែត្រូវបានកំណត់ទៅក្រុមនេះ។
restore-group-confirm-title,"Restore group ""{name}""?",Restaurer le groupe « {name} » ?,Przywrócić grupę „{name}”?,"กู้คืนกลุ่ม ""{name}"" หรือไม่?","ស្តារក្រុម ""{name}""?"
restore-student-confirm-description,The student will return to your active student list. Their groups and login code are unchanged.,L’élève reviendra dans votre liste d’élèves actifs. Ses groupes et son code de connexion restent inchangés.,Uczeń wróci na aktywną listę uczniów. Jego grupy i kod logowania pozostaną bez zmian.,นักเรียนจะกลับไปยังรายการนักเรียนที่ใช้งาน กลุ่มและรหัสเข้าสู่ระบบไม่เปลี่ยน,សិស្សនឹងត្រឡប់ទៅបញ្ជីសិស្សសកម្ម។ ក្រុម និងលេខកូដចូលរបស់ពួកគេមិនផ្លាស់ប្តូរ។
restore-student-confirm-title,Restore this student?,Restaurer cet élève ?,Przywrócić tego ucznia?,กู้คืนนักเรียนคนนี้หรือไม่?,ស្តារសិស្សនេះ?
review-student-submissions-and-provide-feedback,Review Student Submissions And Provide Feedback,Examiner les soumissions des élèves et fournir des commentaires,Przeglądaj prace uczniów i przekazuj opinię,ตรวจงานที่นักเรียนส่งและให้ข้อเสนอแนะ,ពិនិត្យការដាក់ស្នើរបស់សិស្ស និងផ្តល់មតិកែលម្អ
rows-selected-for-removal-summary,Rows Selected For Removal Summary,Résumé des lignes sélectionnées pour suppression,Podsumowanie wierszy wybranych do usunięcia,สรุปแถวที่เลือกเพื่อนำออก,សង្ខេបជួរដេកដែលបានជ្រើសសម្រាប់ដកចេញ
save-changes,Save changes,Enregistrer les modifications,Zapisz zmiany,บันทึกการเปลี่ยนแปลง,រក្សាទុកការផ្លាស់ប្តូរ
search-group,Search Group,Rechercher un groupe,Szukaj grupy,ค้นหากลุ่ม,ស្វែងរកក្រុម
search-sequences,Search sequences,Rechercher des séquences,Szukaj sekwencji,ค้นหาลำดับ,ស្វែងរកលំដាប់
search-student,Search Student,Rechercher un élève,Szukaj ucznia,ค้นหานักเรียน,ស្វែងរកសិស្ស
select-grade,Select Grade,Sélectionner le niveau,Wybierz klasę,เลือกระดับชั้น,ជ្រើសថ្នាក់
select-subject,Select Subject,Sélectionner la matière,Wybierz przedmiot,เลือกวิชา,ជ្រើសមុខវិជ្ជា
select-target-sequence,Select target sequence,Sélectionner la séquence cible,Wybierz docelową sekwencję,เลือกลำดับปลายทาง,ជ្រើសលំដាប់គោលដៅ
selected,Selected,Sélectionné,Wybrane,ที่เลือก,បានជ្រើស
selected-content,the selected content,le contenu sélectionné,wybrana treść,เนื้อหาที่เลือก,មាតិកាដែលបានជ្រើស
selected-students-will-be-added,Selected Students Will Be Added,Les élèves sélectionnés seront ajoutés,Wybrani uczniowie zostaną dodani,นักเรียนที่เลือกจะถูกเพิ่ม,សិស្សដែលបានជ្រើសនឹងត្រូវបានបន្ថែម
sequences-only,Sequences only,Séquences uniquement,Tylko sekwencje,เฉพาะลำดับ,លំដាប់តែប៉ុណ្ណោះ
set-publication-date,Set when this assignment will be published to students,Définir quand ce devoir sera publié aux élèves,"Ustaw, kiedy to zadanie zostanie opublikowane uczniom",กำหนดเวลาที่จะเผยแพร่งานนี้ให้นักเรียน,កំណត់ពេលដែលកិច្ចការនេះនឹងត្រូវបានផ្សព្វផ្សាយទៅសិស្ស
set-publication-date-to-save,Set a publication date to save.,Définissez une date de publication pour enregistrer.,"Ustaw datę publikacji, aby zapisać.",กำหนดวันที่เผยแพร่เพื่อบันทึก,កំណត់កាលបរិច្ឆេទផ្សព្វផ្សាយដើម្បីរក្សាទុក។
something-went-wrong,Something went wrong,Une erreur s’est produite,Coś poszło nie tak,เกิดข้อผิดพลาด,មានអ្វីមួយខុសប្រក្រតី
step-n,Step {n},Étape {n},Krok {n},ขั้นตอน {n},ជំហាន {n}
student-account-created,Student account created,Compte élève créé,Konto ucznia utworzone,สร้างบัญชีนักเรียนแล้ว,បានបង្កើតគណនីសិស្ស
student-added-to-group,Student added to group,Élève ajouté au groupe,Uczeń dodany do grupy,เพิ่มนักเรียนเข้ากลุ่มแล้ว,បានបន្ថែមសិស្សទៅក្រុម
student-already-in-group,Student already in group,L’élève est déjà dans le groupe,Uczeń jest już w grupie,นักเรียนอยู่ในกลุ่มแล้ว,សិស្សមាននៅក្នុងក្រុមរួចហើយ
student-submissions,Student Submissions,Soumissions des élèves,Prace uczniów,งานที่นักเรียนส่ง,ការដាក់ស្នើរបស់សិស្ស
student-updated-successfully,Student updated successfully,Élève mis à jour avec succès,Uczeń zaktualizowany pomyślnie,อัปเดตนักเรียนสำเร็จ,បានធ្វើបច្ចុប្បន្នភាពសិស្សដោយជោគជ័យ
students-archived-successfully,Students Archived Successfully,Élèves archivés avec succès,Uczniowie zarchiwizowani pomyślnie,เก็บถาวรนักเรียนสำเร็จ,បានទុកសិស្សជាឯកសារដោយជោគជ័យ
students-profile,Students Profile,Profil de l’élève,Profil ucznia,โปรไฟล์นักเรียน,ប្រវត្តិរូបសិស្ស
students-successfully-added-to-the-groups,Students successfully added to the groups,Élèves ajoutés aux groupes avec succès,Uczniowie pomyślnie dodani do grup,เพิ่มนักเรียนเข้ากลุ่มสำเร็จ,បានបន្ថែមសិស្សទៅក្រុមដោយជោគជ័យ
subject,Subject,Matière,Przedmiot,วิชา,មុខវិជ្ជា
symbol-passphrase,Symbol Passphrase,Phrase secrète symbolique,Hasło symboliczne,วลีสัญลักษณ์,ឃ្លាសម្ងាត់និមិត្តសញ្ញា
tags,Tags,Étiquettes,Tagi,แท็ก,ស្លាក
this-assignment,This Assignment,Ce devoir,To zadanie,งานที่มอบหมายนี้,កិច្ចការនេះ
time-format-placeholder,Time Format Placeholder,hh:mm,gg:mm,ชม:นาที,ម៉ោង:នាទី
total-student,Total Student,Total élèves,Łącznie uczniów,นักเรียนทั้งหมด,សិស្សសរុប
unknown,Unknown,Inconnu,Nieznane,ไม่ทราบ,មិនស្គាល់
unsaved-changes-will-be-lost,Unsaved changes will be lost.,Les modifications non enregistrées seront perdues.,Niezapisane zmiany zostaną utracone.,การเปลี่ยนแปลงที่ยังไม่บันทึกจะหายไป,ការផ្លាស់ប្តូរដែលមិនបានរក្សាទុកនឹងបាត់។
update,Update,Mettre à jour,Aktualizuj,อัปเดต,ធ្វើបច្ចុប្បន្នភាព
update-the-students-information,Update The Students Information,Mettre à jour les informations de l’élève,Zaktualizuj informacje o uczniu,อัปเดตข้อมูลนักเรียน,ធ្វើបច្ចុប្បន្នភាពព័ត៌មានសិស្ស
view,View,Voir,Zobacz,ดู,មើល
view-and-download-login-code,View and download login code,Voir et télécharger le code de connexion,Zobacz i pobierz kod logowania,ดูและดาวน์โหลดรหัสเข้าสู่ระบบ,មើល និងទាញយកលេខកូដចូល
view-dashboard,View Dashboard,Voir le tableau de bord,Zobacz panel,ดูแดชบอร์ด,មើលផ្ទាំងគ្រប់គ្រង
view-dashboards,View Dashboards,Voir les tableaux de bord,Zobacz panele,ดูแดชบอร์ด,មើលផ្ទាំងគ្រប់គ្រង
view-students,View students,Voir les élèves,Zobacz uczniów,ดูนักเรียน,មើលសិស្ស
where-add-content,Where would you like to add this content?,Où souhaitez-vous ajouter ce contenu ?,Gdzie chcesz dodać tę treść?,ต้องการเพิ่มเนื้อหานี้ที่ไหน?,តើអ្នកចង់បន្ថែមមាតិកានេះនៅឯណា?
without-login-codes,without login codes (not shown below).,sans codes de connexion (non affichés ci-dessous).,bez kodów logowania (nie pokazano poniżej).,โดยไม่มีรหัสเข้าสู่ระบบ (ไม่ได้แสดงด้านล่าง),ដោយគ្មានលេខកូដចូល (មិនបង្ហាញខាងក្រោម)។
you-can-now-add-students-to-this-group,You can now add students to this group,Vous pouvez maintenant ajouter des élèves à ce groupe,Możesz teraz dodać uczniów do tej grupy,คุณสามารถเพิ่มนักเรียนเข้ากลุ่มนี้ได้แล้ว,ឥឡូវអ្នកអាចបន្ថែមសិស្សទៅក្រុមនេះ
assignment-successfully-created,Assignment Successfully Created,Devoir créé avec succès,Zadanie utworzone pomyślnie,สร้างงานที่มอบหมายสำเร็จ,បានបង្កើតកិច្ចការដោយជោគជ័យ
