Page Name,English Text,pl,th,fr,de,lv,sk,km,es,pt,nl
NEW - Copy & Modify Modal,Describe this content,Opisz tę treść,อธิบายเนื้อหานี้,Décrire ce contenu,Beschreiben Sie diesen Inhalt,Aprakstiet šo saturu,Opíšte tento obsah,ពណ៌នាអំពីខ្លឹមសារនេះ។,Describe este contenido,Descreva este conteúdo,Beschrijf deze inhoud
NEW - Copy & Modify Modal,Customization notes (optional),Uwagi dotyczące dostosowywania (opcjonalnie),บันทึกการปรับแต่ง (ไม่บังคับ),Notes de personnalisation (facultatif),Anpassungshinweise (optional),Pielāgošanas piezīmes (pēc izvēles),Poznámky k prispôsobeniu (voliteľné),កំណត់ចំណាំប្ដូរតាមបំណង (ជាជម្រើស),Notas de personalización (opcional),Notas de personalização (opcional),Aanpassingsopmerkingen (optioneel)
NEW - Copy & Modify Modal,Describe changes you plan to make,"Opisz zmiany, które planujesz wprowadzić",อธิบายการเปลี่ยนแปลงที่คุณวางแผนจะทำ,Décrivez les changements que vous envisagez d'apporter,"Beschreiben Sie die Änderungen, die Sie vornehmen möchten","Aprakstiet izmaiņas, kuras plānojat veikt","Popíšte zmeny, ktoré plánujete vykonať",ពិពណ៌នាអំពីការផ្លាស់ប្តូរដែលអ្នកគ្រោងនឹងធ្វើ,Describe los cambios que planeas hacer,Descreva as mudanças que você planeja fazer,Beschrijf de wijzigingen die u van plan bent door te voeren
NEW - Copy & Modify Modal,Drag and drop an image,Przeciągnij i upuść obraz,ลากและวางรูปภาพ,Glissez et déposez une image,Ziehen Sie ein Bild per Drag & Drop,Velciet un nometiet attēlu,Potiahnite a pustite obrázok,អូស និងទម្លាក់រូបភាព,Arrastra y suelta una imagen,Arraste e solte uma imagem,Sleep een afbeelding en zet deze neer
NEW - Copy & Modify Modal,Review existing content,Przejrzyj istniejącą treść,ตรวจสอบเนื้อหาที่มีอยู่,Examiner le contenu existant,Überprüfen Sie vorhandene Inhalte,Pārskatiet esošo saturu,Skontrolujte existujúci obsah,ពិនិត្យខ្លឹមសារដែលមានស្រាប់,Revisar el contenido existente,Revise o conteúdo existente,Beoordeel bestaande inhoud
NEW - Copy & Modify Modal,Add content item or sequence,Dodaj element treści lub sekwencję,เพิ่มรายการเนื้อหาหรือลำดับ,Ajouter un élément de contenu ou une séquence,Inhaltselement oder Sequenz hinzufügen,Pievienojiet satura vienumu vai secību,Pridajte položku obsahu alebo sekvenciu,បន្ថែមធាតុមាតិកាឬលំដាប់,Agregar elemento de contenido o secuencia,Adicionar item de conteúdo ou sequência,Voeg inhoudsitem of reeks toe
NEW - Copy & Modify Modal,Search content,Szukaj treści,ค้นหาเนื้อหา,Rechercher du contenu,Inhalte durchsuchen,Meklēt saturu,Vyhľadajte obsah,ស្វែងរកមាតិកា,Buscar contenido,Pesquisar conteúdo,Zoek inhoud
NEW - Copy & Modify Modal,Expert,Ekspert,ผู้เชี่ยวชาญ,Expert,Experte,Eksperts,Expert,អ្នកជំនាញ,Experto,Especialista,Deskundige
NEW - Copy & Modify Modal,No content found,Nie znaleziono treści,ไม่พบเนื้อหา,Aucun contenu trouvé,Kein Inhalt gefunden,Nav atrasts saturs,Nenašiel sa žiadny obsah,រកមិនឃើញខ្លឹមសារទេ។,No se encontró contenido,Nenhum conteúdo encontrado,Geen inhoud gevonden
NEW - Copy & Modify Modal,Title and details,Tytuł i szczegóły,ชื่อเรื่องและรายละเอียด,Titre et détails,Titel und Details,Nosaukums un detaļas,Názov a podrobnosti,ចំណងជើង និងព័ត៌មានលម្អិត,Título y detalles,Título e detalhes,Titel en details
NEW - Copy & Modify Modal,No content items to preview,Brak elementów treści do podglądu,ไม่มีรายการเนื้อหาที่จะแสดงตัวอย่าง,Aucun élément de contenu à prévisualiser,Keine Inhaltselemente zur Vorschau vorhanden,"Nav satura vienumu, ko priekšskatīt",Žiadne položky obsahu na zobrazenie ukážky,មិនមានធាតុមាតិកាដែលត្រូវមើលជាមុនទេ។,No hay elementos de contenido para obtener una vista previa,Nenhum item de conteúdo para visualizar,Er zijn geen inhoudsitems om een voorbeeld van te bekijken
NEW - Copy & Modify Modal,Find in My content,Znajdź w Moich treściach,ค้นหาในเนื้อหาของฉัน,Rechercher dans Mon contenu,Finden Sie in „Meine Inhalte“.,Atrast sadaļā Mans saturs,Nájsť v časti Môj obsah,ស្វែងរកនៅក្នុងមាតិការបស់ខ្ញុំ,Buscar en Mi contenido,Encontre em Meu conteúdo,Vind in Mijn inhoud
NEW - Copy & Modify Modal,Create copy,Utwórz kopię,สร้างสำเนา,Créer une copie,Kopie erstellen,Izveidot kopiju,Vytvorte kópiu,បង្កើតច្បាប់ចម្លង,Crear copia,Criar cópia,Kopie maken
NEW - Copy & Modify Modal,Continue,Kontynuuj,ดำเนินการต่อ,Continuer,Weiter,Turpināt,Pokračovať,បន្ត,Continuar,Continuar,Ga door
NEW - Copy & Modify Modal,Finish,Zakończ,เสร็จสิ้น,Terminer,Fertig,Pabeigt,Dokončiť,បញ្ចប់,terminar,Concluir,Afwerking
NEW - Copy & Modify Modal,Upload image,Prześlij obraz,อัพโหลดรูปภาพ,Télécharger une image,Bild hochladen,Augšupielādējiet attēlu,Nahrajte obrázok,បង្ហោះរូបភាព,Subir imagen,Carregar imagem,Afbeelding uploaden
NEW - Create Sequence Modal,Edit sequence,Edytuj sekwencję,แก้ไขลำดับ,Modifier la séquence,Reihenfolge bearbeiten,Rediģēt secību,Upraviť sekvenciu,កែសម្រួល​លំដាប់,Editar secuencia,Editar sequência,Reeks bewerken
NEW - Create Sequence Modal,Create a new sequence to organize your content,"Utwórz nową sekwencję, aby uporządkować zawartość",สร้างลำดับใหม่เพื่อจัดระเบียบเนื้อหาของคุณ,Créez une nouvelle séquence pour organiser votre contenu,"Erstellen Sie eine neue Sequenz, um Ihre Inhalte zu organisieren","Izveidojiet jaunu secību, lai sakārtotu saturu",Vytvorte novú sekvenciu na usporiadanie obsahu,បង្កើតលំដាប់ថ្មីដើម្បីរៀបចំមាតិការបស់អ្នក។,Crea una nueva secuencia para organizar tu contenido.,Crie uma nova sequência para organizar seu conteúdo,Maak een nieuwe reeks om uw inhoud te ordenen
NEW - Create Sequence Modal,"After creating, you can add items from the content library",Po utworzeniu możesz dodać elementy z biblioteki treści,หลังจากสร้างแล้ว คุณสามารถเพิ่มรายการจากไลบรารีเนื้อหาได้,"Après la création, vous pouvez ajouter des éléments de la bibliothèque de contenu",Nach der Erstellung können Sie Elemente aus der Inhaltsbibliothek hinzufügen,Pēc izveides varat pievienot vienumus no satura bibliotēkas,Po vytvorení môžete pridať položky z knižnice obsahu,បន្ទាប់ពីបង្កើត អ្នកអាចបន្ថែមធាតុពីបណ្ណាល័យមាតិកា,"Después de crear, puede agregar elementos de la biblioteca de contenido.","Após a criação, você pode adicionar itens da biblioteca de conteúdo",Na het maken kunt u items uit de inhoudsbibliotheek toevoegen
NEW - Create Sequence Modal,Sequence name,Nazwa sekwencji,ชื่อลำดับ,Nom de la séquence,Sequenzname,Secības nosaukums,Názov sekvencie,ឈ្មោះលំដាប់,Nombre de secuencia,Nome da sequência,Naam van de reeks
NEW - Create Sequence Modal,Sequence Title,Tytuł sekwencji,ชื่อลำดับ,Titre de la séquence,Titel der Sequenz,Secības nosaukums,Názov sekvencie,ចំណងជើងលំដាប់,Título de la secuencia,Título da sequência,Titel van de reeks
NEW - Create Sequence Modal,Enter sequence name,Wprowadź nazwę sekwencji,ป้อนชื่อลำดับ,Entrez le nom de la séquence,Geben Sie den Sequenznamen ein,Ievadiet secības nosaukumu,Zadajte názov sekvencie,បញ្ចូលឈ្មោះលំដាប់,Introduzca el nombre de la secuencia,Insira o nome da sequência,Voer de reeksnaam in
NEW - Create Sequence Modal,Add a description for your sequence,Dodaj opis sekwencji,เพิ่มคำอธิบายสำหรับลำดับของคุณ,Ajoutez une description pour votre séquence,Fügen Sie eine Beschreibung für Ihre Sequenz hinzu,Pievienojiet savas secības aprakstu,Pridajte popis sekvencie,បន្ថែមការពិពណ៌នាសម្រាប់លំដាប់របស់អ្នក។,Añade una descripción para tu secuencia.,Adicione uma descrição para sua sequência,Voeg een beschrijving toe voor uw reeks
NEW - Create Sequence Modal,Create sequence,Utwórz sekwencję,สร้างลำดับ,Créer une séquence,Reihenfolge erstellen,Izveidojiet secību,Vytvorte sekvenciu,បង្កើតលំដាប់,Crear secuencia,Criar sequência,Maak een reeks
NEW - Filters & UI,No options found,Nie znaleziono żadnych opcji,ไม่พบตัวเลือก,Aucune option trouvée,Keine Optionen gefunden,Nav atrasta neviena opcija,Nenašli sa žiadne možnosti,រកមិនឃើញជម្រើសទេ។,No se encontraron opciones,Nenhuma opção encontrada,Geen opties gevonden
NEW - Filters & UI,Clear filters,Wyczyść filtry,ล้างตัวกรอง,Effacer les filtres,Filter löschen,Notīrīt filtrus,Vymazať filtre,ជម្រះតម្រង,Limpiar filtros,Limpar filtros,Filters wissen
NEW - Filters & UI,Property Filter,Filtr właściwości,ตัวกรองคุณสมบัติ,Filtre de propriété,Eigenschaftsfilter,Īpašumu filtrs,Filter vlastností,តម្រងអចលនទ្រព្យ,Filtro de propiedad,Filtro de propriedade,Eigenschapsfilter
NEW - Filters & UI,Reset all,Zresetuj wszystko,รีเซ็ตทั้งหมด,Tout réinitialiser,Alles zurücksetzen,Atiestatīt visu,Obnoviť všetky,កំណត់ឡើងវិញទាំងអស់។,Restablecer todo,Redefinir tudo,Alles resetten
NEW - Filters & UI,No options available,Brak dostępnych opcji,ไม่มีตัวเลือกให้เลือก,Aucune option disponible,Keine Optionen verfügbar,Nav pieejamas nekādas opcijas,Nie sú dostupné žiadne možnosti,មិនមានជម្រើសទេ។,No hay opciones disponibles,Nenhuma opção disponível,Geen opties beschikbaar
NEW - Filters & UI,Settings,Ustawienia,การตั้งค่า,Paramètres,Einstellungen,Iestatījumi,Nastavenia,ការកំណត់,Configuración,Configurações,Instellingen
NEW - Filters & UI,Support,Wsparcie,สนับสนุน,Assistance,Unterstützung,Atbalsts,Podpora,គាំទ្រ,Soporte,Suporte,Ondersteuning
NEW - Pre-existing Gaps,Assignment report,Raport przydziału,รายงานการมอบหมายงาน,Rapport de mission,Auftragsbericht,Uzdevuma atskaite,Správa o zadaní,របាយការណ៍ការងារ,Informe de tarea,Relatório de tarefa,Opdrachtrapport
NEW - Pre-existing Gaps,Steps to reproduce are required,Wymagane są kroki w celu odtworzenia,ต้องมีขั้นตอนในการสืบพันธุ์,Des étapes de reproduction sont nécessaires,Schritte zur Reproduktion sind erforderlich,"Ir jāveic darbības, lai reproducētu",Potrebné sú kroky na reprodukciu,ជំហានដើម្បីបង្កើតឡើងវិញគឺត្រូវបានទាមទារ,Se requieren pasos para reproducir,As etapas para reproduzir são necessárias,Er zijn stappen nodig om te reproduceren
NEW - Pre-existing Gaps,You will be able to participate in research studies,Będziesz mógł brać udział w badaniach naukowych,คุณจะสามารถเข้าร่วมการศึกษาวิจัยได้,Vous pourrez participer à des études de recherche,"Sie haben die Möglichkeit, an Forschungsstudien teilzunehmen",Varēsi piedalīties pētnieciskajos pētījumos,Budete sa môcť zúčastniť výskumných štúdií,អ្នកនឹងអាចចូលរួមក្នុងការសិក្សាស្រាវជ្រាវ,Podrás participar en estudios de investigación.,Você poderá participar de pesquisas,U kunt deelnemen aan onderzoeken
NEW - Assignments List Page,Create and manage assignments for your students,Twórz zadania dla swoich uczniów i zarządzaj nimi,สร้างและจัดการงานสำหรับนักเรียนของคุณ,Créez et gérez les devoirs de vos étudiants,Erstellen und verwalten Sie Aufgaben für Ihre Schüler,Izveidojiet un pārvaldiet uzdevumus saviem skolēniem,Vytvárajte a spravujte úlohy pre svojich študentov,បង្កើត និងគ្រប់គ្រងកិច្ចការសម្រាប់សិស្សរបស់អ្នក។,Cree y administre tareas para sus estudiantes,Crie e gerencie tarefas para seus alunos,Maak en beheer opdrachten voor uw leerlingen
NEW - Assignments List Page,New Assignment,Nowe zadanie,งานมอบหมายใหม่,Nouvelle mission,Neue Aufgabe,Jauns uzdevums,Nové zadanie,កិច្ចការថ្មី។,Nueva tarea,Nova tarefa,Nieuwe opdracht
NEW - Assignments List Page,Search assignments,Wyszukaj zadania,ค้นหางานที่มอบหมาย,Rechercher des missions,Suchaufträge,Meklēt uzdevumus,Hľadajte úlohy,ស្វែងរកកិច្ចការ,Buscar asignaciones,Pesquisar atribuições,Zoek opdrachten
NEW - Assignments List Page,Filters,Filtry,ตัวกรอง,Filtres,Filter,Filtri,Filtre,តម្រង,Filtros,Filtros,Filters
NEW - Assignments List Page,Assignment type,Typ zadania,ประเภทการมอบหมาย,Type d'affectation,Aufgabentyp,Uzdevuma veids,Typ úlohy,ប្រភេទកិច្ចការ,Tipo de tarea,Tipo de tarefa,Toewijzingstype
NEW - Assignments List Page,Assigned to,Przypisany do,มอบหมายให้,Attribué à,Zugewiesen an,Piešķirts,Pridelené,ចាត់តាំងទៅ,Asignado a,Atribuído a,Toegewezen aan
NEW - Assignments List Page,Due Date Range,Zakres dat,ช่วงวันที่ครบกำหนด,Plage de dates d'échéance,Fälligkeitsdatumsbereich,Izpildes datumu diapazons,Rozsah dátumov splatnosti,ជួរកាលបរិច្ឆេទផុតកំណត់,Rango de fechas de vencimiento,Intervalo de datas de vencimento,Vervaldatumbereik
NEW - Assignments List Page,Assignment Title,Tytuł zadania,ชื่องาน,Titre de la mission,Titel der Aufgabe,Uzdevuma nosaukums,Názov úlohy,ចំណងជើងកិច្ចការ,Título de la tarea,Título da tarefa,Titel van de opdracht
NEW - Assignments List Page,Due Date,Termin,วันครบกำหนด,Date d'échéance,Fälligkeitsdatum,Izpildes datums,Dátum splatnosti,កាលបរិច្ឆេទផុតកំណត់,Fecha de vencimiento,Data de vencimento,Vervaldatum
NEW - Assignments List Page,Publication status,Stan publikacji,สถานะการตีพิมพ์,Statut de publication,Veröffentlichungsstatus,Publikācijas statuss,Stav publikácie,ស្ថានភាពបោះពុម្ពផ្សាយ,Estado de publicación,Status da publicação,Publicatiestatus
NEW - Assignments List Page,Assignment submissions,Zgłoszenia zadań,การส่งงานที่ได้รับมอบหมาย,Remises de devoirs,Aufgabeneinreichungen,Uzdevumu iesniegumi,Zadania úloh,ការដាក់ស្នើកិច្ចការ,Envíos de tareas,Envios de tarefas,Inzendingen van opdrachten
NEW - Assignments List Page,No assignments match your filters,Żadne przypisania nie pasują do wybranych filtrów,ไม่มีงานที่ตรงกับตัวกรองของคุณ,Aucune affectation ne correspond à vos filtres,Keine Zuweisungen entsprechen Ihren Filtern,Neviens uzdevums neatbilst jūsu filtriem,Vašim filtrom nevyhovujú žiadne úlohy,គ្មានកិច្ចការដែលត្រូវនឹងតម្រងរបស់អ្នកទេ។,Ninguna tarea coincide con tus filtros,Nenhuma tarefa corresponde aos seus filtros,Er zijn geen opdrachten die overeenkomen met uw filters
NEW - Assignments List Page,No description,Brak opisu,ไม่มีคำอธิบาย,Pas de description,Keine Beschreibung,Nav apraksta,Bez popisu,គ្មានការពិពណ៌នាទេ។,Sin descripción,Sem descrição,Geen beschrijving
NEW - Assignments List Page,Not assigned,Nie przydzielono,ไม่ได้รับมอบหมาย,Non attribué,Nicht zugewiesen,Nav piešķirts,Nezaradené,មិនត្រូវបានចាត់តាំង,No asignado,Não atribuído,Niet toegewezen
NEW - Assignments List Page,No submissions,Brak zgłoszeń,ไม่มีการส่ง,Aucune soumission,Keine Einsendungen,Nav iesniegumu,Žiadne príspevky,គ្មានការដាក់ស្នើទេ។,Sin envíos,Nenhum envio,Geen inzendingen
NEW - Assignments List Page,View assignment details,Wyświetl szczegóły zadania,ดูรายละเอียดงาน,Afficher les détails de l'affectation,Aufgabendetails anzeigen,Skatīt uzdevuma informāciju,Zobraziť podrobnosti úlohy,មើលព័ត៌មានលម្អិតអំពីការងារ,Ver detalles de la tarea,Ver detalhes da tarefa,Bekijk opdrachtdetails
NEW - Assignments List Page,Edit assignment,Edytuj zadanie,แก้ไขงาน,Modifier le devoir,Aufgabe bearbeiten,Rediģēt uzdevumu,Upraviť zadanie,កែសម្រួលកិច្ចការ,Editar tarea,Editar tarefa,Opdracht bewerken
NEW - Assignments List Page,View submissions,Zobacz zgłoszenia,ดูการส่ง,Afficher les soumissions,Einsendungen ansehen,Skatīt iesniegumus,Zobraziť príspevky,មើលការដាក់ស្នើ,Ver envíos,Ver envios,Bekijk inzendingen
NEW - Assignments List Page,Duplicate,Duplikat,ทำซ้ำ,Dupliquer,Duplizieren,Dublikāts,Duplicitné,ស្ទួន,Duplicar,Duplicar,Duplicaat
NEW - Assignments List Page,Unarchive,Cofnij archiwizację,ยกเลิกการเก็บถาวร,Désarchiver,Dearchivieren,Atarhivēt,Zrušiť archiváciu,មិនទុកក្នុងប័ណ្ណសារ,Desarchivar,Desarquivar,Uit het archief halen
NEW - Assignments List Page,Archive,Archiwum,เก็บถาวร,Archiver,Archiv,Arhīvs,Archív,បណ្ណសារ,Archivo,Arquivo,Archief
NEW - Assignments List Page,of,z,ของ,de,von,no,z,នៃ,de,de,van
NEW - Assignments List Page,row(s) selected,wybrane wiersze,เลือกแถวแล้ว,ligne(s) sélectionnée(s),Zeile(n) ausgewählt,atlasīta(-as) rinda(-as).,vybraté riadky,បានជ្រើសរើសជួរ,fila(s) seleccionada(s),linha(s) selecionada(s),rij(en) geselecteerd
NEW - Assignments List Page,Previous,Poprzedni,ก่อนหน้า,Précédent,Zurück,Iepriekšējais,Predchádzajúce,មុន,Anterior,Anterior,Vorige
NEW - Assignments List Page,Next,Następny,ถัดไป,Suivant,Als nächstes,Tālāk,Ďalej,បន្ទាប់,Siguiente,Próximo,Volgende
NEW - Assignments List Page,Delete Assignment,Usuń zadanie,ลบการมอบหมาย,Supprimer l'affectation,Zuordnung löschen,Dzēst uzdevumu,Odstrániť zadanie,លុបកិច្ចការ,Eliminar tarea,Excluir tarefa,Toewijzing verwijderen
NEW - Assignments List Page,Are you sure you want to delete this assignment? This action cannot be undone and all associated data will be permanently removed.,"Czy na pewno chcesz usunąć to zadanie? Tej czynności nie można cofnąć, a wszystkie powiązane dane zostaną trwale usunięte.",คุณแน่ใจหรือไม่ว่าต้องการลบงานนี้ การดำเนินการนี้ไม่สามารถยกเลิกได้และข้อมูลที่เกี่ยวข้องทั้งหมดจะถูกลบออกอย่างถาวร,Etes-vous sûr de vouloir supprimer cette attribution ? Cette action ne peut pas être annulée et toutes les données associées seront définitivement supprimées.,"Sind Sie sicher, dass Sie diese Aufgabe löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden und alle zugehörigen Daten werden dauerhaft entfernt.","Vai tiešām vēlaties dzēst šo uzdevumu? Šo darbību nevar atsaukt, un visi saistītie dati tiks neatgriezeniski noņemti.",Naozaj chcete odstrániť túto úlohu? Túto akciu nie je možné vrátiť späť a všetky súvisiace údaje budú natrvalo odstránené.,តើអ្នកប្រាកដថាចង់លុបកិច្ចការនេះទេ? សកម្មភាពនេះមិនអាចត្រឡប់វិញបានទេ ហើយទិន្នន័យដែលពាក់ព័ន្ធទាំងអស់នឹងត្រូវដកចេញជាអចិន្ត្រៃយ៍។,¿Estás seguro de que deseas eliminar esta tarea? Esta acción no se puede deshacer y todos los datos asociados se eliminarán permanentemente.,Tem certeza de que deseja excluir esta tarefa? Esta ação não pode ser desfeita e todos os dados associados serão removidos permanentemente.,Weet je zeker dat je deze opdracht wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt en alle bijbehorende gegevens worden permanent verwijderd.
NEW - Assignments List Page,Cancel,Anuluj,ยกเลิก,Annuler,Abbrechen,Atcelt,Zrušiť,បោះបង់,Cancelar,Cancelar,Annuleer
NEW - Assignments List Page,Duplicate Assignment,Zduplikowane zadanie,การมอบหมายที่ซ้ำกัน,Affectation en double,Doppelte Aufgabe,Dublēts uzdevums,Duplicitné zadanie,កិច្ចការស្ទួន,Asignación duplicada,Atribuição duplicada,Dubbele toewijzing
NEW - Assignments List Page,A copy of this assignment will be created with all settings preserved. The duplicate will be saved as a draft.,Zostanie utworzona kopia tego przypisania z zachowaniem wszystkich ustawień. Duplikat zostanie zapisany jako wersja robocza.,ระบบจะสร้างสำเนาของงานนี้โดยคงการตั้งค่าทั้งหมดไว้ สำเนาจะถูกบันทึกเป็นฉบับร่าง,Une copie de cette affectation sera créée avec tous les paramètres conservés. Le duplicata sera enregistré comme brouillon.,"Es wird eine Kopie dieser Zuweisung erstellt, wobei alle Einstellungen erhalten bleiben. Das Duplikat wird als Entwurf gespeichert.","Tiks izveidota šī uzdevuma kopija, saglabājot visus iestatījumus. Dublikāts tiks saglabāts kā melnraksts.",Vytvorí sa kópia tejto úlohy so zachovaním všetkých nastavení. Duplikát sa uloží ako koncept.,ច្បាប់ចម្លងនៃកិច្ចការនេះនឹងត្រូវបានបង្កើតជាមួយនឹងការកំណត់ទាំងអស់ដែលបានរក្សាទុក។ ស្ទួននឹងត្រូវបានរក្សាទុកជាសេចក្តីព្រាង។,Se creará una copia de esta tarea conservando todas las configuraciones. El duplicado se guardará como borrador.,Uma cópia desta tarefa será criada com todas as configurações preservadas. A duplicata será salva como rascunho.,Er wordt een kopie van deze opdracht gemaakt waarbij alle instellingen behouden blijven. Het duplicaat wordt opgeslagen als concept.
NEW - Assignments List Page,Archive Assignment,Archiwizuj zadanie,การมอบหมายเอกสารเก่า,Affectation d'archives,Archivzuordnung,Arhīva uzdevums,Archivovať zadanie,កិច្ចការក្នុងប័ណ្ណសារ,Asignación de archivo,Atribuição de arquivo,Archiefopdracht
NEW - Assignments List Page,This assignment will be archived and hidden from the active list. You can unarchive it later from the archived view.,To zadanie zostanie zarchiwizowane i ukryte na aktywnej liście. Możesz później cofnąć archiwizację z widoku zarchiwizowanego.,งานนี้จะถูกเก็บถาวรและซ่อนจากรายการที่ใช้งานอยู่ คุณสามารถยกเลิกการเก็บถาวรได้ในภายหลังจากมุมมองที่เก็บถาวร,Cette affectation sera archivée et masquée de la liste active. Vous pourrez le désarchiver ultérieurement à partir de la vue archivée.,Diese Aufgabe wird archiviert und aus der aktiven Liste ausgeblendet. Sie können die Archivierung später in der Archivansicht aufheben.,Šis uzdevums tiks arhivēts un paslēpts aktīvajā sarakstā. Vēlāk varat to atarhivēt arhivētajā skatā.,Táto úloha bude archivovaná a skrytá v aktívnom zozname. Z archivovaného zobrazenia ho môžete neskôr zrušiť.,កិច្ចការនេះនឹងត្រូវបានទុកក្នុងប័ណ្ណសារ និងលាក់ពីបញ្ជីសកម្ម។ អ្នកអាចឈប់រក្សាទុកវានៅពេលក្រោយពីទិដ្ឋភាពដែលបានរក្សាទុក។,Esta tarea se archivará y se ocultará de la lista activa. Puede desarchivarlo más tarde desde la vista archivada.,Esta tarefa será arquivada e ocultada da lista ativa. Você pode desarquivá-lo posteriormente na visualização arquivada.,Deze opdracht wordt gearchiveerd en verborgen in de actieve lijst. U kunt het later uit de gearchiveerde weergave halen.
NEW - Assignments List Page,Published,Opublikowano,เผยแพร่แล้ว,Publié,Veröffentlicht,Publicēts,Zverejnené,បោះពុម្ពផ្សាយ,Publicado,Publicado,Gepubliceerd
NEW - Assignments List Page,Draft,Wersja robocza,ร่าง,Brouillon,Entwurf,Melnraksts,Návrh,សេចក្តីព្រាង,Borrador,Rascunho,Diepgang
NEW - Assignments List Page,Scheduled,Zaplanowane,กำหนดเวลาแล้ว,Programmé,Geplant,Plānots,Naplánované,បានកំណត់ពេល,Programado,Agendado,Gepland
NEW - Assignments List Page,Assignment,Przypisanie,การมอบหมายงาน,Affectation,Aufgabe,Piešķiršana,Pridelenie,កិច្ចការ,tarea,Tarefa,Opdracht
NEW - Assignments List Page,Quiz,Quiz,แบบทดสอบ,Quiz,Quiz,Viktorīna,Kvíz,សំណួរ,cuestionario,Questionário,Quiz
NEW - Assignments List Page,Project,Projekt,โครงการ,Projet,Projekt,Projekts,Projekt,គម្រោង,Proyecto,Projeto,Project
NEW - Assignments List Page,Not set,Nie ustawiono,ไม่ได้ตั้งค่า,Non défini,Nicht festgelegt,Nav iestatīts,Nie je nastavené,មិនបានកំណត់,No establecido,Não definido,Niet ingesteld
NEW - Create/Edit Assignment Wizard (teacher-to-student),Loading...,Ładowanie...,กำลังโหลด...,Chargement...,Laden...,Notiek ielāde...,Načítava sa...,កំពុង​ផ្ទុក...,Cargando...,Carregando...,Laden...
NEW - Create/Edit Assignment Wizard (teacher-to-student),Create new assignment,Utwórz nowe zadanie,สร้างงานใหม่,Créer une nouvelle mission,Neue Aufgabe erstellen,Izveidot jaunu uzdevumu,Vytvorte novú úlohu,បង្កើតកិច្ចការថ្មី។,Crear nueva tarea,Criar nova tarefa,Nieuwe opdracht aanmaken
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step,Krok,ขั้นตอน,Étape,Schritt,Solis,Krok,ជំហាន,paso,Passo,Stap
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 1 of 4: Add title and instructions,Krok 1 z 4: Dodaj tytuł i instrukcje,ขั้นตอนที่ 1 จาก 4: เพิ่มชื่อและคำแนะนำ,Étape 1 sur 4 : Ajouter un titre et des instructions,Schritt 1 von 4: Titel und Anweisungen hinzufügen,1. darbība no 4: pievienojiet nosaukumu un norādījumus,Krok 1 zo 4: Pridajte názov a pokyny,ជំហានទី 1 នៃ 4៖ បន្ថែមចំណងជើង និងការណែនាំ,Paso 1 de 4: agregue título e instrucciones,Etapa 1 de 4: adicione título e instruções,Stap 1 van 4: Titel en instructies toevoegen
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 2 of 4: Add content,Krok 2 z 4: Dodaj treść,ขั้นตอนที่ 2 จาก 4: เพิ่มเนื้อหา,Étape 2 sur 4 : Ajouter du contenu,Schritt 2 von 4: Inhalte hinzufügen,2. darbība no 4: pievienojiet saturu,Krok 2 zo 4: Pridajte obsah,ជំហានទី 2 នៃ 4: បន្ថែមមាតិកា,Paso 2 de 4: Agregar contenido,Passo 2 de 4: Adicione conteúdo,Stap 2 van 4: Voeg inhoud toe
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 3 of 4: Add assignment details,Krok 3 z 4: Dodaj szczegóły zadania,ขั้นตอนที่ 3 จาก 4: เพิ่มรายละเอียดงาน,Étape 3 sur 4 : ajouter les détails de l'affectation,Schritt 3 von 4: Aufgabendetails hinzufügen,3. darbība no 4: pievienojiet uzdevuma informāciju,Krok 3 zo 4: Pridajte podrobnosti o úlohe,ជំហានទី 3 នៃ 4៖ បន្ថែមព័ត៌មានលម្អិតអំពីការងារ,Paso 3 de 4: Agregar detalles de la tarea,Etapa 3 de 4: adicionar detalhes da tarefa,Stap 3 van 4: Opdrachtdetails toevoegen
NEW - Create/Edit Assignment Wizard (teacher-to-student),Step 4 of 4: Assign and publish,Krok 4 z 4: Przypisz i opublikuj,ขั้นตอนที่ 4 จาก 4: มอบหมายและเผยแพร่,Étape 4 sur 4 : Attribuer et publier,Schritt 4 von 4: Zuweisen und veröffentlichen,4. darbība no 4: piešķiriet un publicējiet,Krok 4 zo 4: Priraďte a zverejnite,ជំហានទី 4 នៃ 4: ចាត់តាំង និងបោះផ្សាយ,Paso 4 de 4: Asignar y publicar,Etapa 4 de 4: atribuir e publicar,Stap 4 van 4: Toewijzen en publiceren
NEW - Create/Edit Assignment Wizard (teacher-to-student),Done,Gotowe,เสร็จแล้ว,Terminé,Fertig,Gatavs,Hotovo,រួចរាល់,hecho,Concluído,Klaar
